iter	Accuracy	Logloss
73	0.8574635241	0.367197997
74	0.8563411897	0.3657618573
75	0.8563411897	0.3651355586
76	0.8552188552	0.3649038895
77	0.8563411897	0.3640391022
78	0.8563411897	0.3627105623
79	0.8563411897	0.361974301
80	0.8574635241	0.3606789274
81	0.8574635241	0.3599687413
82	0.8574635241	0.3592045954
83	0.8574635241	0.358251137
84	0.8574635241	0.3562299565
85	0.8585858586	0.3554981876
86	0.8585858586	0.3550913355
87	0.8585858586	0.354278549
88	0.8585858586	0.3531874319
89	0.8585858586	0.3524627499
90	0.8585858586	0.3518593879
91	0.8585858586	0.3499186972
92	0.8585858586	0.349392696
93	0.8585858586	0.348569273
94	0.859708193	0.3477321281
95	0.859708193	0.3471624744
96	0.8608305275	0.3463495875
97	0.8608305275	0.3457534553
98	0.861952862	0.3453555061
99	0.859708193	0.3443269838
100	0.859708193	0.3437513526
101	0.859708193	0.3428279311
102	0.8608305275	0.3420347252
103	0.861952862	0.3414072833
104	0.861952862	0.340736337
105	0.861952862	0.3391277893
106	0.861952862	0.3388924839
107	0.8630751964	0.3381713721
108	0.8630751964	0.3375254403
109	0.8641975309	0.3366324438
110	0.8630751964	0.3360512258
111	0.8641975309	0.3357015819
112	0.8641975309	0.3351321668
113	0.8641975309	0.3348704929
114	0.8653198653	0.3343028172
115	0.8653198653	0.3334436016
116	0.8641975309	0.3324966795
117	0.8653198653	0.3310051131
118	0.8653198653	0.33051029
119	0.8653198653	0.330405097
120	0.8653198653	0.3298518563
121	0.8653198653	0.3294291703
122	0.8653198653	0.3291873511
123	0.8653198653	0.3291460945
124	0.8653198653	0.3287811344
125	0.8653198653	0.3285623817
126	0.8664421998	0.3282150213
127	0.8664421998	0.3279972483
128	0.8664421998	0.3274531226
129	0.8664421998	0.326903791
130	0.8664421998	0.3264596025
131	0.8675645342	0.3259830325
132	0.8675645342	0.3256979751
133	0.8686868687	0.3251637602
134	0.8675645342	0.324985002
135	0.8686868687	0.3245990771
136	0.8698092031	0.3241353013
137	0.8709315376	0.3238479174
138	0.8709315376	0.3235412428
139	0.8720538721	0.3229871273
140	0.8720538721	0.3227964374
141	0.8709315376	0.3222188956
142	0.8709315376	0.3220419445
143	0.8709315376	0.3205464623
144	0.8698092031	0.3202094723
145	0.8709315376	0.3197568887
146	0.8720538721	0.3192271967
147	0.8731762065	0.3178522897
148	0.8731762065	0.317283836
149	0.8754208754	0.316855699
150	0.8754208754	0.3167109478
151	0.8754208754	0.3166890819
152	0.8754208754	0.3162332755
153	0.8754208754	0.3160168067
154	0.8765432099	0.3157076767
155	0.8765432099	0.3156972665
156	0.8776655443	0.3152329011
157	0.8776655443	0.3145804708
158	0.8776655443	0.3143493321
159	0.8776655443	0.314007302
160	0.8776655443	0.3137204622
161	0.8776655443	0.3130802856
162	0.8776655443	0.3126929164
163	0.8776655443	0.3125428694
164	0.8787878788	0.3121648509
165	0.8787878788	0.3119455983
166	0.8787878788	0.3116587588
167	0.8776655443	0.3113627323
168	0.8787878788	0.3103706748
169	0.8787878788	0.3101762636
170	0.8787878788	0.3094792528
171	0.8787878788	0.3091832044
172	0.8787878788	0.3081511615
173	0.8787878788	0.3077105944
174	0.8787878788	0.307404586
175	0.8787878788	0.3071825218
176	0.8787878788	0.3067857143
177	0.8787878788	0.3064486065
178	0.8799102132	0.3060606522
179	0.8799102132	0.3056324753
180	0.8787878788	0.3053284347
181	0.8787878788	0.3050655738
182	0.8787878788	0.3043952343
183	0.8787878788	0.3042500484
184	0.8821548822	0.3034257082
185	0.8810325477	0.3032410839
186	0.8821548822	0.3029683095
187	0.8832772166	0.3026891512
188	0.8832772166	0.3022117306
189	0.8832772166	0.3019877697
190	0.8832772166	0.3016301854
191	0.8832772166	0.3015992316
192	0.8855218855	0.3009939969
193	0.8877665544	0.3000052836
194	0.8888888889	0.2994284384
195	0.8888888889	0.2989628024
196	0.8877665544	0.2985388343
197	0.8877665544	0.2982935491
198	0.8888888889	0.2981230122
199	0.8900112233	0.2977690242
200	0.8888888889	0.2975149903
201	0.8888888889	0.2971848877
202	0.8888888889	0.2970435192
203	0.8888888889	0.2967344766
204	0.8888888889	0.2966101754
205	0.8888888889	0.2963673977
206	0.8888888889	0.296328926
207	0.8888888889	0.2960173917
208	0.8900112233	0.295486692
209	0.8900112233	0.295222375
210	0.8900112233	0.2949456869
211	0.8911335578	0.2945618996
212	0.8922558923	0.2942171417
213	0.8922558923	0.2936604023
214	0.8922558923	0.293577658
215	0.8922558923	0.2933067976
216	0.8922558923	0.293006836
217	0.8922558923	0.29276544
218	0.8933782267	0.2925156105
219	0.8933782267	0.292002693
220	0.8933782267	0.2917322143
221	0.8933782267	0.2916714067
222	0.8933782267	0.2914113153
223	0.8933782267	0.2913058554
224	0.8933782267	0.291004189
225	0.8945005612	0.2907659349
226	0.8945005612	0.2904900594
227	0.8945005612	0.290233214
228	0.8945005612	0.2900440026
229	0.8945005612	0.2898633499
230	0.8956228956	0.2894228761
231	0.8945005612	0.2891304638
232	0.8956228956	0.2886361044
233	0.8945005612	0.2883064488
234	0.8945005612	0.2881097995
235	0.8956228956	0.2871470569
236	0.8956228956	0.2869875346
237	0.8956228956	0.2863629489
238	0.8956228956	0.286266775
239	0.8967452301	0.2859334206
240	0.8967452301	0.2855868052
241	0.8967452301	0.2854647418
242	0.8978675645	0.285158453
243	0.8978675645	0.2849755167
244	0.8978675645	0.2847468586
245	0.8978675645	0.2845267917
246	0.8978675645	0.2844820681
247	0.8978675645	0.2842653093
248	0.8978675645	0.283754758
249	0.8978675645	0.2835398537
250	0.8978675645	0.2832968848
251	0.8978675645	0.2832034821
252	0.8978675645	0.2830098972
253	0.8978675645	0.2827082474
254	0.8978675645	0.2824749152
255	0.8978675645	0.2821952134
256	0.8978675645	0.2819971763
257	0.8978675645	0.2818109856
258	0.8978675645	0.2817609624
259	0.8978675645	0.2815558494
260	0.8978675645	0.2811634055
261	0.8978675645	0.2811483807
262	0.8978675645	0.2809149648
263	0.8978675645	0.2807295065
264	0.8978675645	0.2805455679
265	0.8978675645	0.2802387251
266	0.8978675645	0.2800045651
267	0.898989899	0.2792047657
268	0.898989899	0.2790361297
269	0.898989899	0.2782358729
270	0.898989899	0.2779852785
271	0.898989899	0.2777304218
272	0.898989899	0.2775628532
273	0.898989899	0.2774414068
274	0.898989899	0.2772440584
275	0.9001122334	0.2769140617
276	0.898989899	0.2767625904
277	0.9001122334	0.2764403458
278	0.9001122334	0.2762653996
279	0.9001122334	0.275255662
280	0.9001122334	0.2750722851
281	0.9001122334	0.2750452733
282	0.9001122334	0.2748834102
283	0.9001122334	0.2746028881
284	0.9001122334	0.2744694663
285	0.9001122334	0.2740302113
286	0.9012345679	0.2739172825
287	0.9034792368	0.2737389137
288	0.9034792368	0.2737243035
289	0.9034792368	0.2736946744
290	0.9034792368	0.2734715779
291	0.9034792368	0.2733833347
292	0.9023569024	0.2732233932
293	0.9023569024	0.2731791092
294	0.9023569024	0.2728709234
295	0.9023569024	0.272727726
296	0.9023569024	0.272653927
297	0.9023569024	0.272556509
298	0.9023569024	0.2724651121
299	0.9023569024	0.2723195759
300	0.9023569024	0.2722498433
301	0.9034792368	0.2719396078
302	0.9034792368	0.2715512049
303	0.9034792368	0.2713193431
304	0.9034792368	0.2711805527
305	0.9034792368	0.2711555815
306	0.9034792368	0.2710636535
307	0.9046015713	0.2704514474
308	0.9034792368	0.2702114259
309	0.9046015713	0.2701216944
310	0.9034792368	0.2698691644
311	0.9046015713	0.2697208294
312	0.9046015713	0.2696290429
313	0.9046015713	0.2694426142
314	0.9046015713	0.2692951915
315	0.9046015713	0.269021357
316	0.9057239057	0.2689501159
317	0.9057239057	0.2687694482
318	0.9057239057	0.2684845102
319	0.9068462402	0.268381926
320	0.9057239057	0.268299686
321	0.9057239057	0.2682830565
322	0.9068462402	0.2681135707
323	0.9068462402	0.268091394
324	0.9068462402	0.2678073326
325	0.9068462402	0.2676492194
326	0.9068462402	0.2675098812
327	0.9079685746	0.2665175261
328	0.9079685746	0.2664212714
329	0.9090909091	0.2661538451
330	0.9090909091	0.2659588769
331	0.9090909091	0.2658490936
332	0.9102132435	0.2657437943
333	0.9102132435	0.2657203527
334	0.9102132435	0.2657001078
335	0.9102132435	0.2654759125
336	0.9090909091	0.2652124973
337	0.9090909091	0.2651863211
338	0.9102132435	0.2647236693
339	0.9102132435	0.2643096764
340	0.911335578	0.2640934105
341	0.9102132435	0.2640041702
342	0.9102132435	0.2638936969
343	0.9102132435	0.2635766097
344	0.9102132435	0.2633267757
345	0.9102132435	0.2630837562
346	0.9102132435	0.2629220893
347	0.9102132435	0.2628094744
348	0.9102132435	0.2625508492
349	0.9102132435	0.2624118785
350	0.9102132435	0.262313352
351	0.9102132435	0.2619766868
352	0.9102132435	0.2615430768
353	0.9124579125	0.2611651026
354	0.9135802469	0.2610172597
355	0.9124579125	0.2609028943
356	0.9124579125	0.26048146
357	0.9124579125	0.2602799031
358	0.9124579125	0.2601676811
359	0.9124579125	0.2599051624
360	0.9124579125	0.2598241446
361	0.9135802469	0.2594629149
362	0.9135802469	0.2592685905
363	0.9135802469	0.259158571
364	0.9135802469	0.2590580339
365	0.9147025814	0.2588359935
366	0.9147025814	0.2586227759
367	0.9135802469	0.2584863954
368	0.9147025814	0.2584454491
369	0.9147025814	0.2582552929
370	0.9147025814	0.2581299206
371	0.9147025814	0.2581165273
372	0.9147025814	0.2579765962
373	0.9147025814	0.2579382961
374	0.9158249158	0.2579209666
375	0.9158249158	0.2577391683
376	0.9169472503	0.2576826979
377	0.9169472503	0.2575041705
378	0.9169472503	0.2573847861
379	0.9169472503	0.2573166339
380	0.9169472503	0.2573001261
381	0.9169472503	0.2570700744
382	0.9180695847	0.2569566577
383	0.9180695847	0.2568411269
384	0.9180695847	0.2564106656
385	0.9180695847	0.2563419038
386	0.9180695847	0.256303967
387	0.9180695847	0.2561795772
388	0.9180695847	0.2559214859
389	0.9180695847	0.255676061
390	0.9180695847	0.2556362067
391	0.9180695847	0.2556101464
392	0.9180695847	0.2555985225
393	0.9180695847	0.2555431644
394	0.9180695847	0.255426012
395	0.9169472503	0.2552852556
396	0.9180695847	0.2552080175
397	0.9180695847	0.2550293808
398	0.9180695847	0.2548262944
399	0.9180695847	0.2547124191
400	0.9180695847	0.2545473957
401	0.9180695847	0.254475009
402	0.9180695847	0.2543405161
403	0.9180695847	0.2541882285
404	0.9180695847	0.2541517225
405	0.9169472503	0.2540018954
406	0.9180695847	0.253749659
407	0.9180695847	0.2527671449
408	0.9180695847	0.2522179464
409	0.9180695847	0.2520458549
410	0.9180695847	0.2517351077
411	0.9180695847	0.2514638645
412	0.9180695847	0.2511629084
413	0.9180695847	0.2510278728
414	0.9180695847	0.2509409454
415	0.9180695847	0.2509331442
416	0.9180695847	0.2508638372
417	0.9180695847	0.2506091535
418	0.9180695847	0.2504584397
419	0.9180695847	0.2500871156
420	0.9180695847	0.2497146618
421	0.9180695847	0.2496690725
422	0.9180695847	0.2496594729
423	0.9180695847	0.2494608793
424	0.9180695847	0.2494390938
425	0.9180695847	0.2494137673
426	0.9180695847	0.2491094597
427	0.9180695847	0.2490838217
428	0.9180695847	0.2488625977
429	0.9191919192	0.2486926928
430	0.9191919192	0.2486478336
431	0.9191919192	0.2485333616
432	0.9191919192	0.248374326
433	0.9191919192	0.2481980699
434	0.9191919192	0.2481418268
435	0.9191919192	0.2481010244
436	0.9191919192	0.2479491518
437	0.9191919192	0.2477884095
438	0.9191919192	0.2476399188
439	0.9191919192	0.2470430281
440	0.9191919192	0.2467426649
441	0.9191919192	0.2466752377
442	0.9191919192	0.2465012022
443	0.9191919192	0.2463318065
444	0.9191919192	0.2462154869
445	0.9191919192	0.2461349458
446	0.9191919192	0.2457448359
447	0.9191919192	0.2457302278
448	0.9191919192	0.2456894249
449	0.9191919192	0.2456448872
450	0.9191919192	0.2456317009
451	0.9191919192	0.24537972
452	0.9191919192	0.2452500564
453	0.9191919192	0.2452354189
454	0.9191919192	0.2451159689
455	0.9203142536	0.2450181431
456	0.9203142536	0.2449562382
457	0.9203142536	0.2447702936
458	0.9203142536	0.2446103752
459	0.9203142536	0.2441630067
460	0.9203142536	0.243969687
461	0.9214365881	0.2438284014
462	0.9214365881	0.2438019908
463	0.9214365881	0.2437512631
464	0.9214365881	0.2435567435
465	0.9214365881	0.2435143082
466	0.9214365881	0.2434761936
467	0.9214365881	0.2433801494
468	0.9214365881	0.2433728295
469	0.9214365881	0.243239667
470	0.9203142536	0.2429344257
471	0.9203142536	0.2428379593
472	0.9203142536	0.2426996663
473	0.9203142536	0.2426491289
474	0.9203142536	0.2425776627
475	0.9203142536	0.242438722
476	0.9203142536	0.2420537949
477	0.9225589226	0.2416258197
478	0.9225589226	0.24148102
479	0.9225589226	0.241432502
480	0.9225589226	0.2411748072
481	0.9225589226	0.241140269
482	0.9225589226	0.2409824909
483	0.9225589226	0.2408732879
484	0.9225589226	0.2408306778
485	0.9225589226	0.2408149881
486	0.9225589226	0.2407110812
487	0.9225589226	0.2405035938
488	0.9225589226	0.2402195355
489	0.9225589226	0.2399917901
490	0.9225589226	0.2398678053
491	0.923681257	0.2397358751
492	0.923681257	0.2392437241
493	0.923681257	0.2391697878
494	0.923681257	0.2388039165
495	0.923681257	0.2384917117
496	0.923681257	0.238407573
497	0.923681257	0.238245847
498	0.923681257	0.2381982237
499	0.923681257	0.2381287119
500	0.923681257	0.2375959775
501	0.923681257	0.2375150994
502	0.923681257	0.2375065769
503	0.9248035915	0.2373795346
504	0.9248035915	0.2372650946
505	0.9259259259	0.2372045984
506	0.9259259259	0.2368710344
507	0.9248035915	0.2366336847
508	0.9248035915	0.2365816166
509	0.9259259259	0.2364694589
510	0.9248035915	0.2362186051
511	0.9248035915	0.236076584
512	0.9248035915	0.2360118341
513	0.9270482604	0.2357142268
514	0.9270482604	0.2353562269
515	0.9270482604	0.2353499474
516	0.9270482604	0.2352803903
517	0.9270482604	0.2351837817
518	0.9270482604	0.2351469618
519	0.9270482604	0.2347981836
520	0.9270482604	0.2339963527
521	0.9270482604	0.2332093331
522	0.9270482604	0.2329528765
523	0.9270482604	0.2326708691
524	0.9270482604	0.2317517488
525	0.9270482604	0.2314293086
526	0.9270482604	0.2313486077
527	0.9270482604	0.2311160843
528	0.9281705948	0.2309239253
529	0.9281705948	0.230730485
530	0.9281705948	0.2305988771
531	0.9281705948	0.2305382752
532	0.9281705948	0.2300311688
533	0.9281705948	0.2297549492
534	0.9281705948	0.2293236172
535	0.9281705948	0.2292581176
536	0.9292929293	0.2291544266
537	0.9304152637	0.2289837168
538	0.9304152637	0.2286118235
539	0.9304152637	0.2284536169
540	0.9304152637	0.2282612526
541	0.9304152637	0.2281458194
542	0.9304152637	0.2278390301
543	0.9304152637	0.2275643514
544	0.9304152637	0.2273991653
545	0.9304152637	0.2273821315
546	0.9304152637	0.2270460785
547	0.9304152637	0.2270103066
548	0.9304152637	0.2267275386
549	0.9304152637	0.2266907942
550	0.9304152637	0.2263907933
551	0.9304152637	0.2258045463
552	0.9304152637	0.2257936026
553	0.9304152637	0.2256565568
554	0.9304152637	0.2254302751
555	0.9304152637	0.2252594393
556	0.9304152637	0.2251147911
557	0.9304152637	0.2250550712
558	0.9304152637	0.2250280545
559	0.9304152637	0.224915848
560	0.9304152637	0.2248970599
561	0.9304152637	0.224786266
562	0.9315375982	0.2241633061
563	0.9315375982	0.2240718689
564	0.9315375982	0.2239154809
565	0.9315375982	0.2237648656
566	0.9315375982	0.2235786636
567	0.9315375982	0.2234685355
568	0.9315375982	0.2231806587
569	0.9315375982	0.2230328156
570	0.9315375982	0.2228522024
571	0.9315375982	0.222633831
572	0.9315375982	0.2226188302
573	0.9315375982	0.2222134336
574	0.9315375982	0.2220386922
575	0.9315375982	0.2219687266
576	0.9315375982	0.2218589795
577	0.9315375982	0.2217240113
578	0.9315375982	0.2212029434
579	0.9315375982	0.2209063117
580	0.9315375982	0.2207178
581	0.9315375982	0.2200888672
582	0.9315375982	0.2198258652
583	0.9315375982	0.2197648146
584	0.9315375982	0.2196987337
585	0.9315375982	0.2196482711
586	0.9315375982	0.2195124668
587	0.9315375982	0.2194543948
588	0.9315375982	0.219348399
589	0.9315375982	0.2191680371
590	0.9326599327	0.2187479781
591	0.9326599327	0.2185692048
592	0.9326599327	0.218442161
593	0.9326599327	0.2178904073
594	0.9315375982	0.2177433483
595	0.9315375982	0.2175811907
596	0.9315375982	0.2174450677
597	0.9315375982	0.2173140359
598	0.9315375982	0.2172817162
599	0.9315375982	0.217168279
600	0.9315375982	0.216882925
601	0.9315375982	0.2168101074
602	0.9315375982	0.2164524441
603	0.9326599327	0.2163086161
604	0.9326599327	0.2162757226
605	0.9326599327	0.2162541084
606	0.9315375982	0.2160889784
607	0.9326599327	0.2159322127
608	0.9326599327	0.2152848082
609	0.9337822671	0.2149782364
610	0.9326599327	0.2148853931
611	0.9326599327	0.2145147431
612	0.9326599327	0.2142397062
613	0.9337822671	0.2139083571
614	0.9337822671	0.2138474899
615	0.9337822671	0.2137784813
616	0.9349046016	0.2135790735
617	0.9349046016	0.2133521964
618	0.9349046016	0.2131315087
619	0.9349046016	0.2127852801
620	0.9349046016	0.2126259273
621	0.9349046016	0.2125046628
622	0.9349046016	0.2123954059
623	0.936026936	0.2119616179
624	0.936026936	0.2117927466
625	0.936026936	0.2116335826
626	0.936026936	0.2112015639
627	0.936026936	0.2108448739
628	0.936026936	0.2107469424
629	0.936026936	0.2106331402
630	0.936026936	0.2105704856
631	0.936026936	0.2105123578
632	0.936026936	0.2103466617
633	0.936026936	0.2100803634
634	0.936026936	0.2093839991
635	0.936026936	0.2092921858
636	0.9371492705	0.2090258314
637	0.9371492705	0.208786026
638	0.9371492705	0.208729158
639	0.936026936	0.2084142465
640	0.936026936	0.2080522155
641	0.936026936	0.2078010154
642	0.936026936	0.2072520897
643	0.9371492705	0.2069327573
644	0.9371492705	0.2068604289
645	0.9371492705	0.2066755563
646	0.9382716049	0.2063307268
647	0.9382716049	0.2061802101
648	0.9382716049	0.2061138735
649	0.9382716049	0.2060366764
650	0.9382716049	0.2057131459
651	0.9382716049	0.2054315582
652	0.9382716049	0.2051146616
653	0.9382716049	0.2048679665
654	0.9382716049	0.2048079822
655	0.9393939394	0.2044704333
656	0.9393939394	0.2043182711
657	0.9393939394	0.2041293516
658	0.9393939394	0.2040338299
659	0.9393939394	0.2037038339
660	0.9393939394	0.2036464772
661	0.9393939394	0.2034129174
662	0.9393939394	0.2030728488
663	0.9393939394	0.2029353575
664	0.9393939394	0.2028416579
665	0.9393939394	0.2027469341
666	0.9405162738	0.2025525572
667	0.9405162738	0.2023401429
668	0.9405162738	0.2022834551
669	0.9405162738	0.2022326442
670	0.9405162738	0.2021130311
671	0.9405162738	0.2020185862
672	0.9405162738	0.2014141483
673	0.9405162738	0.201057029
674	0.9405162738	0.2009561928
675	0.9405162738	0.2005200266
676	0.9405162738	0.2001841209
677	0.9405162738	0.199833543
678	0.9416386083	0.1993730348
679	0.9416386083	0.1992452277
680	0.9416386083	0.1990888788
681	0.9416386083	0.1986483633
682	0.9416386083	0.1984721335
683	0.9416386083	0.1982537859
684	0.9416386083	0.1978848429
685	0.9416386083	0.1976885253
686	0.9416386083	0.1975502163
687	0.9416386083	0.1970971012
688	0.9416386083	0.1970846572
689	0.9416386083	0.1970076378
690	0.9427609428	0.1969304408
691	0.9427609428	0.1967236077
692	0.9427609428	0.1966710783
693	0.9427609428	0.1962363802
694	0.9427609428	0.1960813129
695	0.9427609428	0.1957307552
696	0.9427609428	0.1956328155
697	0.9427609428	0.1956161597
698	0.9427609428	0.1954641511
699	0.9427609428	0.1954445876
700	0.9427609428	0.1952436886
701	0.9427609428	0.1949307563
702	0.9427609428	0.1948803829
703	0.9427609428	0.1946844117
704	0.9427609428	0.1946561383
705	0.9427609428	0.1945587391
706	0.9427609428	0.1943753714
707	0.9438832772	0.1940987142
708	0.9438832772	0.1940118632
709	0.9438832772	0.193723334
710	0.9438832772	0.1934782318
711	0.9438832772	0.1934430632
712	0.9438832772	0.1932862376
713	0.9438832772	0.1932210615
714	0.9438832772	0.1930884129
715	0.9438832772	0.192967611
716	0.9438832772	0.1928945745
717	0.9438832772	0.1926236395
718	0.9438832772	0.1925513025
719	0.9438832772	0.1923729986
720	0.9438832772	0.1923301446
721	0.9438832772	0.1921851393
722	0.9438832772	0.1919533766
723	0.9438832772	0.1917630159
724	0.9450056117	0.1912641614
725	0.9450056117	0.1911254103
726	0.9450056117	0.1909788467
727	0.9450056117	0.1908001807
728	0.9450056117	0.1907388663
729	0.9450056117	0.1906307356
730	0.9450056117	0.1904838551
731	0.9461279461	0.1901292199
732	0.9461279461	0.1900141701
733	0.9472502806	0.1898896305
734	0.9472502806	0.189766154
735	0.9472502806	0.1895099522
736	0.9472502806	0.1894085873
737	0.9472502806	0.1892769893
738	0.9472502806	0.1892585649
739	0.9472502806	0.1889819925
740	0.9472502806	0.1888650109
741	0.9472502806	0.1883943504
742	0.9472502806	0.18809509
743	0.9472502806	0.1876410456
744	0.9472502806	0.1875207762
745	0.9472502806	0.1875009415
746	0.9472502806	0.1873337923
747	0.9472502806	0.1872244986
748	0.9472502806	0.1871769777
749	0.9472502806	0.1870681057
750	0.9472502806	0.186906331
751	0.9472502806	0.1868298321
752	0.9472502806	0.1866816795
753	0.9472502806	0.1865704292
754	0.9472502806	0.1863621441
755	0.9472502806	0.1863294759
756	0.9472502806	0.1862368317
757	0.9472502806	0.1860046964
758	0.9472502806	0.1858231865
759	0.9472502806	0.1857026749
760	0.9472502806	0.1855867213
761	0.9472502806	0.1854380712
762	0.9472502806	0.1853381726
763	0.9472502806	0.1851386633
764	0.9472502806	0.1849258363
765	0.9472502806	0.1846562902
766	0.948372615	0.1842552133
767	0.948372615	0.184169024
768	0.948372615	0.1841068081
769	0.948372615	0.1840682976
770	0.948372615	0.1840353986
771	0.948372615	0.1840142715
772	0.9494949495	0.1838760847
773	0.9494949495	0.1836694936
774	0.948372615	0.183658618
775	0.948372615	0.1832280537
776	0.9494949495	0.182989551
777	0.9494949495	0.1828473817
778	0.9494949495	0.1826840782
779	0.9494949495	0.1822495848
780	0.9494949495	0.1821133716
781	0.948372615	0.1819759778
782	0.948372615	0.1818650056
783	0.948372615	0.1818021324
784	0.948372615	0.1817396311
785	0.948372615	0.1816086875
786	0.9494949495	0.1813747831
787	0.948372615	0.1810388552
788	0.948372615	0.1808781296
789	0.9494949495	0.1804991517
790	0.9494949495	0.1803400013
791	0.9494949495	0.1801164437
792	0.9494949495	0.1798911724
793	0.9494949495	0.1794335272
794	0.9494949495	0.1793387854
795	0.9494949495	0.1792269829
796	0.9494949495	0.1792040409
797	0.9494949495	0.178956973
798	0.9494949495	0.1788833244
799	0.9494949495	0.1787965594
800	0.9494949495	0.1787126895
801	0.9494949495	0.1786607213
802	0.9494949495	0.1785986606
803	0.9494949495	0.17843637
804	0.9494949495	0.1783455919
805	0.9494949495	0.1782272922
806	0.9494949495	0.1781895181
807	0.9494949495	0.1779127923
808	0.950617284	0.1777368847
809	0.950617284	0.1776069117
810	0.950617284	0.1773398641
811	0.950617284	0.1770548118
812	0.950617284	0.177014833
813	0.950617284	0.1769390443
814	0.950617284	0.1769004941
815	0.9517396184	0.1765784565
816	0.9517396184	0.1764708917
817	0.9517396184	0.1763934049
818	0.9517396184	0.1763125051
819	0.9517396184	0.1761618961
820	0.9517396184	0.1760206712
821	0.9517396184	0.1758511859
822	0.9517396184	0.1758196867
823	0.9517396184	0.1757775994
824	0.9517396184	0.1756940288
825	0.9517396184	0.1756357202
826	0.9528619529	0.175494915
827	0.9528619529	0.1753946222
828	0.9528619529	0.1753603703
829	0.9528619529	0.1750976527
830	0.9528619529	0.174950768
831	0.9528619529	0.1748422866
832	0.9528619529	0.1745480995
833	0.9528619529	0.1745215068
834	0.9528619529	0.1744730042
835	0.9528619529	0.1744393371
836	0.9528619529	0.1743745352
837	0.9528619529	0.1742349662
838	0.9528619529	0.1739736533
839	0.9528619529	0.1739003017
840	0.9528619529	0.173889898
841	0.9528619529	0.1736370884
842	0.9528619529	0.1735055564
843	0.9528619529	0.1733513696
844	0.9528619529	0.1732720417
845	0.9528619529	0.173176049
846	0.9528619529	0.1730524039
847	0.9528619529	0.1730135043
848	0.9528619529	0.1729249312
849	0.9528619529	0.1727933188
850	0.9528619529	0.1725120161
851	0.9528619529	0.172434863
852	0.9528619529	0.1723989232
853	0.9528619529	0.1722991424
854	0.9528619529	0.1722266954
855	0.9528619529	0.1720836179
856	0.9528619529	0.1719109102
857	0.9528619529	0.1717508221
858	0.9528619529	0.1716306657
859	0.9528619529	0.1715576141
860	0.9528619529	0.1715003352
861	0.9528619529	0.1713747418
862	0.9528619529	0.1712696181
863	0.9528619529	0.1711499979
864	0.9528619529	0.1711047241
865	0.9528619529	0.1708311981
866	0.9528619529	0.170546846
867	0.9528619529	0.1704366566
868	0.9528619529	0.1704162297
869	0.9528619529	0.170146169
870	0.9528619529	0.1699980761
871	0.9528619529	0.169877836
872	0.9528619529	0.1697737075
873	0.9528619529	0.169675938
874	0.9528619529	0.1695419654
875	0.9528619529	0.1694661115
876	0.9528619529	0.1692342804
877	0.9528619529	0.1691801944
878	0.9528619529	0.1689863989
879	0.9528619529	0.1685782967
880	0.9528619529	0.1685635718
881	0.9528619529	0.1684741932
882	0.9528619529	0.1684280286
