iter	Passed	Remaining
447	1136	1400
448	1138	1397
449	1141	1394
450	1143	1392
451	1146	1389
452	1148	1387
453	1151	1384
454	1153	1382
455	1156	1379
456	1158	1376
457	1161	1374
458	1163	1371
459	1166	1369
460	1168	1366
461	1171	1363
462	1173	1361
463	1176	1358
464	1178	1356
465	1181	1353
466	1183	1351
467	1186	1348
468	1188	1345
469	1191	1343
470	1193	1340
471	1196	1337
472	1198	1335
473	1201	1332
474	1203	1330
475	1206	1327
476	1208	1325
477	1211	1322
478	1213	1319
479	1215	1317
480	1218	1314
481	1220	1312
482	1223	1309
483	1225	1306
484	1228	1304
485	1230	1301
486	1233	1299
487	1235	1296
488	1238	1294
489	1240	1291
490	1243	1288
491	1245	1286
492	1247	1283
493	1250	1280
494	1252	1278
495	1255	1275
496	1258	1273
497	1260	1270
498	1262	1267
499	1265	1265
500	1267	1262
501	1270	1260
502	1272	1257
503	1275	1254
504	1277	1252
505	1279	1249
506	1282	1246
507	1284	1244
508	1287	1241
509	1289	1239
510	1292	1236
511	1294	1233
512	1296	1231
513	1299	1228
514	1301	1226
515	1304	1223
516	1306	1220
517	1309	1218
518	1311	1215
519	1314	1213
520	1316	1210
521	1319	1207
522	1321	1205
523	1324	1202
524	1326	1200
525	1328	1197
526	1331	1195
527	1333	1192
528	1336	1189
529	1338	1187
530	1341	1184
531	1343	1182
532	1346	1179
533	1349	1177
534	1351	1174
535	1354	1172
536	1356	1169
537	1358	1166
538	1361	1164
539	1364	1162
540	1366	1159
541	1369	1156
542	1371	1154
543	1373	1151
544	1376	1149
545	1378	1146
546	1381	1143
547	1383	1141
548	1386	1138
549	1388	1135
550	1390	1133
551	1393	1130
552	1396	1128
553	1398	1125
554	1400	1123
555	1403	1120
556	1405	1118
557	1408	1115
558	1410	1112
559	1413	1110
560	1415	1107
561	1418	1105
562	1420	1102
563	1423	1100
564	1425	1097
565	1427	1094
566	1430	1092
567	1433	1090
568	1435	1087
569	1438	1084
570	1440	1082
571	1442	1079
572	1445	1077
573	1447	1074
574	1450	1071
575	1452	1069
576	1455	1066
577	1457	1064
578	1460	1061
579	1462	1059
580	1465	1056
581	1467	1054
582	1470	1051
583	1472	1048
584	1474	1046
585	1477	1043
586	1480	1041
587	1482	1038
588	1484	1036
589	1487	1033
590	1489	1031
591	1492	1028
592	1494	1025
593	1497	1023
594	1499	1020
595	1502	1018
596	1504	1015
597	1507	1013
598	1509	1010
599	1512	1008
600	1514	1005
601	1517	1003
602	1519	1000
603	1522	997
604	1524	995
605	1526	992
606	1529	990
