iter	RMSE
183	0.531189249
184	0.5308504075
185	0.530570996
186	0.5300131768
187	0.5296628129
188	0.5293168395
189	0.5289198611
190	0.5286717462
191	0.528454577
192	0.5279960963
193	0.5276416187
194	0.5272667043
195	0.5268425231
196	0.5264553449
197	0.5258985136
198	0.525393171
199	0.5251461366
200	0.5249294176
201	0.5247082584
202	0.5244170922
203	0.5242087688
204	0.5239529154
205	0.5237288969
206	0.5233924596
207	0.5226198954
208	0.5221288102
209	0.5219280327
210	0.5217316324
211	0.5213454788
212	0.5208709976
213	0.5206384364
214	0.5200802843
215	0.5197822063
216	0.5193947061
217	0.5190841577
218	0.5188014884
219	0.5185504465
220	0.51819769
221	0.5177177585
222	0.5172761502
223	0.5171013074
224	0.5166766229
225	0.5164343533
226	0.5160383948
227	0.5155906435
228	0.5150954402
229	0.5148669024
230	0.5146445496
231	0.5145358352
232	0.5142425875
233	0.5139168306
234	0.5135643407
235	0.5133443383
236	0.5131578031
237	0.5127336997
238	0.5124867808
239	0.5120963653
240	0.5117399541
241	0.5115444515
242	0.5113005767
243	0.510695535
244	0.5102431015
245	0.5099678326
246	0.5097950467
247	0.5095820482
248	0.5093299245
249	0.509193691
250	0.5089656251
251	0.5085503719
252	0.5083326031
253	0.5080553328
254	0.5077430138
255	0.5072083337
256	0.5070269611
257	0.5067895391
258	0.5065583407
259	0.5062692171
260	0.5059731806
261	0.5057058695
262	0.5054403379
263	0.5049214132
264	0.5047038508
265	0.5040060304
266	0.5037801937
267	0.503544945
268	0.503142167
269	0.5027971674
270	0.5026302021
271	0.502469067
272	0.5021261488
273	0.5019416875
274	0.5017252195
275	0.5013811884
276	0.5011700672
277	0.5008216589
278	0.5005611962
279	0.5003842342
280	0.5000499674
281	0.4994389296
282	0.4991222463
283	0.4987173446
284	0.498446958
285	0.4982063856
286	0.4979457137
287	0.4977733996
288	0.497499517
289	0.4972713114
290	0.4970903339
291	0.4968809058
292	0.4965090687
293	0.4962252178
294	0.4959720906
295	0.4956464643
296	0.4954603134
297	0.4951768888
298	0.4949616928
299	0.4947019017
300	0.494493662
301	0.4942188547
302	0.493953725
303	0.4937890224
304	0.4935351141
305	0.4932685726
306	0.4929123833
307	0.4926776036
308	0.4925130764
309	0.4921588128
310	0.4919000089
311	0.4916937967
312	0.4914417507
313	0.4910693701
314	0.49083588
315	0.4905575042
316	0.4902202459
317	0.490069844
318	0.4897121738
319	0.4893796944
320	0.4892114115
321	0.4889890265
322	0.4887640348
323	0.4884983566
324	0.4882383472
325	0.4879717733
326	0.48767673
327	0.4873929812
328	0.4871367494
329	0.4869000729
330	0.4866658332
331	0.4864656441
332	0.4862701967
333	0.4861202897
334	0.4859296956
335	0.4856642495
336	0.4854372894
337	0.4852307888
338	0.4849851392
339	0.4847482028
340	0.4843694374
341	0.4841694543
342	0.4839678348
343	0.4838294712
344	0.4836529384
345	0.4834736053
346	0.4832083049
347	0.4830758469
348	0.4827447821
349	0.4825109203
350	0.482114102
351	0.4819080324
352	0.4816950834
353	0.4815360725
354	0.4813076458
355	0.4809234421
356	0.480678674
357	0.4804753771
358	0.4802811891
359	0.4801189499
360	0.479924496
361	0.4797616386
362	0.4794021256
363	0.4792280983
364	0.479031343
365	0.4788226126
366	0.4785381686
367	0.4783832984
368	0.478094606
369	0.477889373
370	0.4777166433
371	0.4774878857
372	0.4772802582
373	0.4769886277
374	0.476822255
375	0.4766132778
376	0.4764544972
377	0.4759421642
378	0.4757204559
379	0.4753702729
380	0.4751930679
381	0.4750321884
382	0.4748940422
383	0.4747100458
384	0.4745460444
385	0.4743955494
386	0.4740740338
387	0.473894148
388	0.4736553651
389	0.4734211727
390	0.4732677304
391	0.4730770365
392	0.4728686705
393	0.4726501297
394	0.4723988137
395	0.4722776368
396	0.4717817044
397	0.4716335044
398	0.4714477186
399	0.4712182582
400	0.4710552088
401	0.4708380889
402	0.4706644513
403	0.4703500724
404	0.4701183518
405	0.4696784596
406	0.46924442
407	0.4690341684
408	0.4688223042
409	0.4687072115
410	0.4685504379
411	0.4683927755
412	0.4682742705
413	0.4681322346
414	0.4679613746
415	0.4677563731
416	0.4675078589
417	0.4673615832
418	0.4671664225
419	0.4669990379
420	0.4668489525
421	0.4666873492
422	0.4665342585
423	0.4663859851
424	0.4662036356
425	0.4658981488
426	0.4656574363
427	0.4653913131
428	0.4652307965
429	0.4650115134
430	0.464822609
431	0.4646104815
432	0.4643928805
433	0.4642394023
434	0.4641251487
435	0.4639961661
436	0.4635548769
437	0.4634251186
438	0.4632773513
439	0.4631390548
440	0.4628485613
441	0.4624788966
442	0.4622939604
443	0.4621217993
444	0.461954771
445	0.4617455278
446	0.4615718579
447	0.461415302
448	0.4612573538
449	0.4610922494
450	0.4609061974
451	0.4607374092
452	0.4606158845
453	0.4604727943
454	0.4603516935
455	0.4602222642
456	0.4600795571
457	0.4598536428
458	0.4596776163
459	0.4595355146
460	0.4592772919
461	0.4590784615
462	0.4589389294
463	0.4588179372
464	0.4585176674
465	0.4583797848
466	0.45828788
467	0.4580908424
468	0.4579687194
469	0.4578478466
470	0.4576542991
471	0.4574781963
472	0.4573008964
473	0.457040163
474	0.4569217393
475	0.4567380089
476	0.4566327546
477	0.4564135425
478	0.4562439649
479	0.4560715192
480	0.4559106123
481	0.4557683074
482	0.4556044912
483	0.4554172231
484	0.4552358621
485	0.4550518242
486	0.4548927024
487	0.4546891355
488	0.454594726
489	0.454504688
490	0.4543261509
491	0.4541849019
492	0.4540592114
493	0.453922643
494	0.4537873392
495	0.4536335757
496	0.453377369
497	0.4532783365
498	0.4531423766
499	0.4529316598
500	0.4528307615
501	0.4527444348
502	0.4524138241
503	0.4522893563
504	0.4521356207
505	0.4519924702
506	0.4518996878
507	0.4517482644
508	0.4515594353
509	0.4514207432
510	0.4512696219
511	0.451187099
512	0.4510384261
513	0.4508997328
514	0.4508224242
515	0.4506943078
516	0.4506028083
517	0.450358583
518	0.4502266893
519	0.4500737879
520	0.4498914169
521	0.4497784798
522	0.4496199453
523	0.4494714967
524	0.4493718821
525	0.4492955659
526	0.4490056905
527	0.448865927
528	0.4485629575
529	0.4484187777
530	0.448258284
531	0.448082683
532	0.447914209
533	0.4477852162
534	0.4476533946
535	0.4475077355
536	0.4473892133
537	0.4472345899
538	0.4470810783
539	0.4468742703
540	0.4467250574
541	0.4465789914
542	0.4464602407
543	0.4462220586
544	0.4461106189
545	0.4460039765
546	0.4458816482
547	0.4457214221
548	0.445478441
549	0.4453593787
550	0.445268984
551	0.4450061598
552	0.4448245063
553	0.4447026577
554	0.4445759507
555	0.4444802188
556	0.4441869677
557	0.4440466356
558	0.4439222561
559	0.4438040216
560	0.4436807863
561	0.4434648307
562	0.4433553056
563	0.4432268227
564	0.4431255828
565	0.4430433644
566	0.4429220183
567	0.4428034087
568	0.4425870744
569	0.4424676582
570	0.4423842293
571	0.4422507039
572	0.4421085403
573	0.4419768228
574	0.4418228245
575	0.4417064456
576	0.4415304986
577	0.4412764068
578	0.4411163214
579	0.441035186
580	0.4409191319
581	0.440850725
582	0.440730835
583	0.4405569819
584	0.4403149499
585	0.4401585377
586	0.4400283159
587	0.4399000139
588	0.4397761113
589	0.4396552182
590	0.4395843405
591	0.4394617518
592	0.4393284515
593	0.4392405299
594	0.4391696074
595	0.4390565109
596	0.4388455419
597	0.4387005393
598	0.4385472564
599	0.4384304366
600	0.4382841209
601	0.4381730419
602	0.4379866372
603	0.4378688346
604	0.4377619513
605	0.4377026419
606	0.4375510476
607	0.4374700005
608	0.437315486
609	0.4371733195
610	0.4370296725
611	0.436921787
612	0.4367772484
613	0.4366545123
614	0.4364845702
615	0.4363662295
616	0.4362727544
617	0.4361889122
618	0.4360748906
619	0.4359608474
620	0.435908801
621	0.4358185186
622	0.4357100463
623	0.4355999503
624	0.435532966
625	0.4353585889
626	0.4352739251
627	0.435145762
628	0.4350561936
629	0.4349181477
630	0.4347442895
631	0.4346631288
632	0.4345549136
633	0.4344371115
634	0.4343286876
635	0.4342040001
636	0.434139088
637	0.4340282414
638	0.4338995672
639	0.4337839028
640	0.433675212
641	0.4335408982
642	0.4334372843
643	0.4333138834
644	0.4332050453
645	0.433089913
646	0.4329761005
647	0.4328843399
648	0.4326529724
649	0.4325348622
650	0.4324393217
651	0.4322461961
652	0.4321090106
653	0.4320280131
654	0.4318903305
655	0.4317216421
656	0.4315941686
657	0.4314728864
658	0.4314165664
659	0.4312878257
660	0.4312099644
661	0.4310946822
662	0.4309766793
663	0.4308684453
664	0.4306674555
665	0.4305491596
666	0.4304569769
667	0.4303411316
668	0.4302620185
669	0.4301240227
670	0.4300448879
671	0.4299270388
672	0.429804131
673	0.4297261134
674	0.4295625469
675	0.4294820338
676	0.4293617303
677	0.4292773222
678	0.4291362775
679	0.4290096413
680	0.4288892332
681	0.4287903641
682	0.4286486608
683	0.4284281244
684	0.4283343501
685	0.428192613
686	0.4281330116
687	0.4280112432
688	0.4279052027
689	0.4278348928
690	0.4277220934
691	0.4276361975
692	0.4275336549
693	0.4274525753
694	0.4273192953
695	0.4272191215
696	0.4270989876
697	0.4270344305
698	0.4269619384
699	0.4268157411
700	0.4266572022
701	0.4265836142
702	0.4264850048
703	0.4263493411
704	0.4261755143
705	0.4260894026
706	0.425996543
707	0.4259168838
708	0.425819933
709	0.4256962962
710	0.4255964601
711	0.4254534016
712	0.4253325612
713	0.4251969918
714	0.4251381311
715	0.4249360402
716	0.4248008378
717	0.4247204686
718	0.4246428444
719	0.4245725075
720	0.4244130417
721	0.4243196282
722	0.4241931316
723	0.4241096964
724	0.4239818143
725	0.4238799247
726	0.4238198985
727	0.4237381403
728	0.423604952
729	0.4235186071
730	0.4234241728
731	0.4233590564
732	0.4232669825
733	0.4231656831
734	0.4230975976
735	0.422979839
736	0.4228488633
737	0.4227822179
738	0.4227165491
739	0.4226587662
740	0.4225735652
741	0.4225202439
742	0.4224235485
743	0.422300801
744	0.4222291713
745	0.4221643356
746	0.4220877376
747	0.4220059007
748	0.4219321332
749	0.421845925
750	0.4217073363
751	0.4215760685
752	0.4214635182
753	0.421386368
754	0.421316475
755	0.4212047201
756	0.4211098779
757	0.4210595418
758	0.4209972178
759	0.4208370504
760	0.4206895552
761	0.4206086801
762	0.4204585094
763	0.4203838087
764	0.4202839292
765	0.420166687
766	0.4200713309
767	0.419869604
768	0.4197878965
769	0.4196461968
770	0.4195628571
771	0.4194482955
772	0.419358619
773	0.4192877256
774	0.4192224196
775	0.4191117582
776	0.418992459
777	0.4188779956
778	0.4187941954
779	0.4187328416
780	0.4186318997
781	0.4185432625
782	0.4184334096
783	0.4183589901
784	0.4181697855
785	0.4180725084
786	0.418014585
787	0.4179313398
788	0.4178564289
789	0.4177617172
790	0.4176536489
791	0.4175360271
792	0.4173722689
793	0.4172693934
794	0.4171602087
795	0.4170769779
796	0.4169807905
797	0.4169277679
798	0.4167904446
799	0.4166821688
800	0.4166159482
801	0.4165412866
802	0.4164404347
803	0.4163481969
804	0.4162453746
805	0.4161975783
806	0.4161376717
807	0.4160179975
808	0.4159037543
809	0.4158177516
810	0.4157541173
811	0.4156225635
812	0.4154421621
813	0.4153460452
814	0.4152401916
815	0.4151381085
816	0.4150217058
817	0.4149626682
818	0.4148614532
819	0.41473131
820	0.4146612617
821	0.4145178298
822	0.4144397893
823	0.4143461787
824	0.4142900258
825	0.4141083273
826	0.4139760274
827	0.4138583246
828	0.4137402265
829	0.4136407132
830	0.4135115707
831	0.413439504
832	0.4133925062
833	0.4132758421
834	0.4131529563
835	0.4130138521
836	0.41291352
837	0.4128171882
838	0.4126837845
839	0.4126039321
840	0.4125162259
841	0.4124725793
842	0.4123680217
843	0.4123084698
844	0.4121459414
845	0.4120696764
846	0.4119798409
847	0.4118965283
848	0.4118218179
849	0.4116691801
850	0.4115336885
851	0.4113857441
852	0.4113132414
853	0.4112532293
854	0.4112040347
855	0.4110506951
856	0.4109406361
857	0.4108501686
858	0.4107933615
859	0.4107196509
860	0.4106746116
861	0.4105587117
862	0.4104279945
863	0.4103088193
864	0.4102314694
865	0.4100951698
866	0.4100141405
867	0.4099415242
868	0.4098255528
869	0.4097305833
870	0.4096220381
871	0.4095484022
872	0.4094820838
873	0.4094045703
874	0.4093531785
875	0.4092532097
876	0.4091777563
877	0.4090852782
878	0.4089660726
879	0.4088670157
880	0.408801055
881	0.4087467242
882	0.4086520848
883	0.4085250536
884	0.4084183677
885	0.4082937841
886	0.4082307854
887	0.4081427188
888	0.4080269272
889	0.4079164879
890	0.4078117851
891	0.4076882529
892	0.4076181169
893	0.4075346388
894	0.4074757869
895	0.4073501829
896	0.4072807941
897	0.4072072161
898	0.4071074178
899	0.4070483308
900	0.4069571496
901	0.4068489373
902	0.406723747
903	0.4066563979
904	0.4065611161
905	0.4064763283
906	0.406359599
907	0.4062757361
908	0.4061856103
909	0.4061466935
910	0.4060291847
911	0.4059459974
912	0.4058880371
913	0.4058228869
914	0.4057449097
915	0.4056398469
916	0.4054749482
917	0.4054104525
918	0.4053197968
919	0.4052615395
920	0.405174815
921	0.4051180944
922	0.4050309686
923	0.4049218577
924	0.4048377175
925	0.4047205695
926	0.4046395103
927	0.4045590524
928	0.4044593476
929	0.4043836347
930	0.4043458887
931	0.4042891231
932	0.4042369528
933	0.4041702724
934	0.4040757945
935	0.4039964501
936	0.4038967326
937	0.4037898297
938	0.4037064813
939	0.4036313954
940	0.4035339352
941	0.4034292893
942	0.4033185086
943	0.4031893721
944	0.4030863925
945	0.4030467326
946	0.4029823012
947	0.4028864833
948	0.4028060322
949	0.4027180059
950	0.4026078051
951	0.4025355873
952	0.4024869445
953	0.4024047706
954	0.4023211479
955	0.4022213955
956	0.4021229742
957	0.402062489
958	0.4019840261
959	0.4018864508
960	0.4018076383
961	0.4017376336
962	0.401652874
963	0.4015830694
964	0.4014845207
965	0.4014387007
966	0.4013292084
967	0.4012420577
968	0.4011363029
969	0.4010811104
970	0.4009912397
971	0.4009255808
972	0.400864497
973	0.4007885611
974	0.4006946322
975	0.4005933871
976	0.4004973429
977	0.4004142072
978	0.4003058371
979	0.4002075861
980	0.40009372
981	0.4000268375
982	0.3999631123
983	0.3998929657
984	0.3998479888
985	0.3998043826
986	0.3997110083
987	0.3996053043
988	0.3995492391
989	0.3994585828
990	0.3993686867
991	0.399306502
992	0.3992318948
993	0.3991574904
994	0.3990692847
995	0.3990253306
996	0.3989497441
997	0.3988483105
998	0.3987659342
999	0.398677129
